Route__State,Region,Route_Volume,Avg_Lead_Time,Lead_Time_Variability,Delay_Frequency_StateLevel,Normalized_Lead_Time,Route_Efficiency_Score,High_performance
Canada → Atlantic → New Brunswick,Atlantic,8,1273.25,276.29215903253055,25.0,0.2717743948090841,0.728225605190916,True
Canada → Atlantic → Newfoundland And Labrador,Atlantic,6,1216.1666666666667,357.44729215181735,33.33333333333333,0.1578071707844607,0.8421928292155393,True
Canada → Atlantic → Nova Scotia,Atlantic,6,1272.6666666666667,326.91446383827474,33.33333333333333,0.2706097662424093,0.7293902337575907,True
Canada → Atlantic → Ontario,Atlantic,58,1247.4655172413793,272.26993929317706,24.137931034482758,0.2202955173274356,0.7797044826725644,True
Canada → Atlantic → Prince Edward Island,Atlantic,10,1420.3,255.81419038043998,0.0,0.5653606189168954,0.4346393810831046,False
Canada → Atlantic → Quebec,Atlantic,50,1288.24,313.0554205352954,12.0,0.30170202146244074,0.6982979785375593,False
Canada → Interior → Manitoba,Interior,12,1455.3333333333333,191.13980287324844,0.0,0.6353048831212044,0.36469511687879563,False
Canada → Pacific → Alberta,Pacific,26,1274.076923076923,292.4006734707597,0.0,0.2734253517882168,0.7265746482117832,False
Canada → Pacific → British Columbia,Pacific,22,1290.3181818181818,308.42509106189266,13.636363636363635,0.3058511241690676,0.6941488758309324,False
Canada → Pacific → Saskatchewan,Pacific,2,1457.0,258.8010819142764,50.0,0.6386323933117045,0.3613676066882955,False
United States → Atlantic → Connecticut,Atlantic,82,1357.5487804878048,271.6828739741245,19.51219512195122,0.44007742548101786,0.5599225745189822,False
United States → Atlantic → Delaware,Atlantic,96,1269.75,233.93066899134195,23.958333333333336,0.2647866234090342,0.7352133765909659,True
United States → Atlantic → District Of Columbia,Atlantic,10,1347.7,153.52889702665826,20.0,0.4204142750187173,0.5795857249812827,False
United States → Atlantic → Maine,Atlantic,8,1137.125,189.7339773020561,0.0,0.0,1.0,True
United States → Atlantic → Maryland,Atlantic,105,1356.7809523809524,238.89770827346803,16.19047619047619,0.4385444519709556,0.5614555480290444,False
United States → Atlantic → Massachusetts,Atlantic,135,1308.3185185185184,251.9821615296056,21.48148148148148,0.34178890645074805,0.658211093549252,False
United States → Atlantic → New Hampshire,Atlantic,27,1300.037037037037,247.40600102812644,25.925925925925924,0.32525487803750824,0.6747451219624918,False
United States → Atlantic → New Jersey,Atlantic,130,1338.3307692307692,247.32053671930424,20.0,0.4017085485016605,0.5982914514983395,False
United States → Atlantic → New York,Atlantic,1128,1324.4937943262412,249.35850252819927,24.911347517730498,0.374082943501355,0.6259170564986449,False
United States → Atlantic → Ohio,Atlantic,469,1325.7334754797441,263.9766391035061,22.174840085287848,0.37655797450410605,0.6234420254958939,False
United States → Atlantic → Pennsylvania,Atlantic,587,1324.1993185689948,261.75722696774153,22.31686541737649,0.37349502085149955,0.6265049791485005,False
United States → Atlantic → Rhode Island,Atlantic,56,1324.8035714285713,281.9016862565488,16.071428571428573,0.3747014153802273,0.6252985846197727,False
United States → Atlantic → Vermont,Atlantic,11,1438.909090909091,190.99971442149055,9.090909090909092,0.6025137826984597,0.3974862173015403,False
United States → Atlantic → West Virginia,Atlantic,4,1638.0,2.0,0.0,1.0,0.0,False
United States → Gulf → Alabama,Gulf,61,1291.27868852459,253.47531971558493,22.950819672131146,0.30776878168123795,0.692231218318762,False
United States → Gulf → Arkansas,Gulf,60,1285.7333333333333,284.7462662761219,25.0,0.2966974461359288,0.7033025538640711,False
United States → Gulf → Florida,Gulf,383,1311.396866840731,269.80825883330687,23.49869451697128,0.3479348476979906,0.6520651523020093,False
United States → Gulf → Georgia,Gulf,184,1338.6358695652175,249.18286790460385,25.0,0.4023176831848615,0.5976823168151385,False
United States → Gulf → Kentucky,Gulf,139,1328.4460431654677,274.44571736084407,12.949640287769784,0.3819736324741057,0.6180263675258943,False
United States → Gulf → Louisiana,Gulf,42,1263.7857142857142,306.7775499556551,19.047619047619047,0.25287889051303064,0.7471211094869694,True
United States → Gulf → Mississippi,Gulf,53,1266.566037735849,263.14886905689286,24.528301886792452,0.25842982328095637,0.7415701767190437,True
United States → Gulf → North Carolina,Gulf,249,1334.8835341365461,254.98943386149926,24.096385542168676,0.3948261225586147,0.6051738774413853,False
United States → Gulf → South Carolina,Gulf,42,1255.4285714285713,241.7498347019025,19.047619047619047,0.2361938037006665,0.7638061962993334,True
United States → Gulf → Tennessee,Gulf,183,1391.4863387978141,248.20197061856544,20.76502732240437,0.5078339681513634,0.4921660318486366,False
United States → Gulf → Virginia,Gulf,224,1229.125,256.4203956055587,19.642857142857142,0.1836785625155977,0.8163214374844023,True
United States → Interior → Illinois,Interior,492,1323.1504065040651,269.7178236961477,21.747967479674795,0.3714008615005044,0.6285991384994956,False
United States → Interior → Indiana,Interior,149,1381.496644295302,242.35376265378426,23.48993288590604,0.4878894819971092,0.5121105180028909,False
United States → Interior → Iowa,Interior,30,1443.9,229.8014660377593,10.0,0.612478163214375,0.387521836785625,False
United States → Interior → Kansas,Interior,24,1273.2916666666667,262.9869362215324,25.0,0.27185758256384673,0.7281424174361533,True
