State/Province,State_Code
Alabama,AL-USA
Arkansas,AR-USA
Florida,FL-USA
Georgia,GA-USA
Kentucky,KY-USA
Louisiana,LA-USA
Mississippi,MS-USA
North Carolina,NC-USA
South Carolina,SC-USA
Tennessee,TN-USA
Virginia,VA-USA
West Virginia,WV-USA
Connecticut,CT-USA
Delaware,DE-USA
District Of Columbia,DC-USA
Maine,ME-USA
Maryland,MD-USA
Massachusetts,MA-USA
New Hampshire,NH-USA
New Jersey,NJ-USA
New York,NY-USA
Ohio,OH-USA
Pennsylvania,PA-USA
Rhode Island,RI-USA
Vermont,VT-USA
Illinois,IL-USA
Indiana,IN-USA
Iowa,IA-USA
Kansas,KS-USA
Michigan,MI-USA
Minnesota,MN-USA
Missouri,MO-USA
Nebraska,NE-USA
North Dakota,ND-USA
Oklahoma,OK-USA
South Dakota,SD-USA
Texas,TX-USA
Wisconsin,WI-USA
Arizona,AZ-USA
California,CA-USA
Colorado,CO-USA
Idaho,ID-USA
Montana,MT-USA
Nevada,NV-USA
New Mexico,NM-USA
Oregon,OR-USA
Utah,UT-USA
Washington,WA-USA
Wyoming,WY-USA
Alberta,AB-CA
British Columbia,BC-CA
Manitoba,MB-CA
New Brunswick,NB-CA
Newfoundland And Labrador,NL-CA
Nova Scotia,NS-CA
Ontario,ON-CA
Prince Edward Island,PE-CA
Quebec,QC-CA
Saskatchewan,SK-CA
