State/Province,State_Code,Country,Lat,Lon
Alabama,AL-USA,United States,33.2588817,-86.8295337
Arkansas,AR-USA,United States,35.2048883,-92.4479108
Florida,FL-USA,United States,27.7567667,-81.4639835
Georgia,GA-USA,United States,32.3293809,-83.1137366
Kentucky,KY-USA,United States,37.5726028,-85.1551411
Louisiana,LA-USA,United States,30.8703881,-92.007126
Mississippi,MS-USA,United States,32.9715285,-89.7348497
North Carolina,NC-USA,United States,35.6729639,-79.0392919
South Carolina,SC-USA,United States,33.6874388,-80.4363743
Tennessee,TN-USA,United States,35.7730076,-86.2820081
Virginia,VA-USA,United States,37.1232245,-78.4927721
West Virginia,WV-USA,United States,38.4758406,-80.8408415
Connecticut,CT-USA,United States,41.6500201,-72.7342163
Delaware,DE-USA,United States,38.6920451,-75.4013315
District Of Columbia,DC-USA,United States,38.8950982,-77.0363849
Maine,ME-USA,United States,45.709097,-68.8590201
Maryland,MD-USA,United States,39.5162401,-76.9382069
Massachusetts,MA-USA,United States,42.3788774,-72.032366
New Hampshire,NH-USA,United States,43.4849133,-71.6553992
New Jersey,NJ-USA,United States,40.0757384,-74.4041622
New York,NY-USA,United States,40.7127281,-74.0060152
Ohio,OH-USA,United States,40.2253569,-82.6881395
Pennsylvania,PA-USA,United States,40.9699889,-77.7278831
Rhode Island,RI-USA,United States,41.7962409,-71.5992372
Vermont,VT-USA,United States,44.5990718,-72.5002608
Illinois,IL-USA,United States,40.0796606,-89.4337288
Indiana,IN-USA,United States,40.3270127,-86.1746933
Iowa,IA-USA,United States,41.9216734,-93.3122705
Kansas,KS-USA,United States,38.27312,-98.5821872
Michigan,MI-USA,United States,43.6211955,-84.6824346
Minnesota,MN-USA,United States,45.9896587,-94.6113288
Missouri,MO-USA,United States,38.7604815,-92.5617875
Nebraska,NE-USA,United States,41.7370229,-99.5873816
North Dakota,ND-USA,United States,47.6201461,-100.540737
Oklahoma,OK-USA,United States,34.9550817,-97.2684063
South Dakota,SD-USA,United States,44.6471761,-100.348761
Texas,TX-USA,United States,31.2638905,-98.5456116
Wisconsin,WI-USA,United States,44.4308975,-89.6884637
Arizona,AZ-USA,United States,34.395342,-111.763275
California,CA-USA,United States,36.7014631,-118.755997
Colorado,CO-USA,United States,38.7251776,-105.607716
Idaho,ID-USA,United States,43.6447642,-114.015407
Montana,MT-USA,United States,47.3752671,-109.638757
Nevada,NV-USA,United States,39.5158825,-116.853722
New Mexico,NM-USA,United States,34.5802074,-105.996047
Oregon,OR-USA,United States,43.9792797,-120.737257
Utah,UT-USA,United States,39.4225192,-111.714358
Washington,WA-USA,United States,38.8950982,-77.0363849
Wyoming,WY-USA,United States,43.1700264,-107.568534
Alberta,AB-CA,Canada,55.001251,-115.002136
British Columbia,BC-CA,Canada,55.001251,-125.002441
Manitoba,MB-CA,Canada,55.001251,-97.001038
New Brunswick,NB-CA,Canada,46.500283,-66.750183
Newfoundland And Labrador,NL-CA,Canada,53.8217327,-61.2295532
Nova Scotia,NS-CA,Canada,45.1960403,-63.1653789
Ontario,ON-CA,Canada,50.000678,-86.000977
Prince Edward Island,PE-CA,Canada,46.3355508,-63.1466676
Quebec,QC-CA,Canada,52.4760892,-71.8258668
Saskatchewan,SK-CA,Canada,55.5321257,-106.141224
